"Partner ID","Partner Name","End Borrower Name","External Id","Loan Account No","Loan Amount","Interest Rate","Tenure (in months)","Total Charges Deducted","Total GST Deducted","Net Disbursal Amount","Total Outstanding Amount","XIRR Value","VCL Hurdle Rate","First Repayment Date","Maturity Date","Transaction Type","Penny Drop Status","UTR No","Processing Fee Amount","Insurance Charge Amount","Insurance Life Cover","Insurance Hospicash","Stamp Duty Amount","Disbursement Date","Status"
1,"NOCPL","Close loan SOA1","NOC28NOV001","CLNOCC132223000000001",21000.000000,16.230000,12,0.000000,0.000000,21000.000000,841.000000,17.55,15.750000,"10-12-2022","13-11-2023",,,,0.000000,0.000000,0.000000,0.000000,0.000000,"10-11-2022","Active"
1,"NOCPL","Close loan SOA1","NOC28NOV002","CLNOCC132223000000002",22000.000000,16.750000,12,101.690000,18.310000,21880.000000,5935.000000,18.16,15.750000,"20-12-2022","13-11-2023",,,,0.000000,120.000000,0.000000,0.000000,0.000000,"20-11-2022","Active"
1,"NOCPL","Close loan SOA1","NOC28NOV003","CLNOCC132223000000003",23000.000000,17.250000,12,4347.460000,782.540000,17870.000000,0.000000,75.66,15.750000,"04-12-2022","08-11-2023",,,,5000.000000,130.000000,0.000000,0.000000,0.000000,"04-11-2022","Closed"
1,"NOCPL","Close loan SOA1","NOC28NOV004","CLNOCC132223000000004",24000.000000,17.750000,12,2372.880000,427.120000,21200.000000,16188.000000,23.79,15.750000,"28-11-2022","13-10-2023",,,,500.000000,2300.000000,0.000000,0.000000,0.000000,"28-10-2022","Active"
1,"NOCPL","Foreclose NOCPL SOA1","NOC28NOV005","CLNOCC132324000000005",25000.000000,18.330000,20,635.590000,114.410000,24250.000000,23272.000000,23.04,15.750000,"17-08-2023","10-03-2025",,,,600.000000,150.000000,0.000000,0.000000,0.000000,"17-07-2023","Active"
1,"NOCPL","Foreclose NOCPL SOA1","NOC28NOV006","CLNOCC132324000000006",26000.000000,18.770000,12,728.810000,131.190000,25140.000000,0.000000,25.77,15.750000,"04-09-2023","07-08-2024",,,,700.000000,160.000000,0.000000,0.000000,0.000000,"03-08-2023","Foreclosed"
1,"NOCPL","Foreclose NOCPL SOA1","NOC28NOV007","CLNOCC132324000000007",27000.000000,19.250000,16,822.040000,147.960000,26030.000000,0.000000,25.24,15.750000,"10-07-2023","30-10-2024",,,,800.000000,170.000000,0.000000,0.000000,0.000000,"07-06-2023","Foreclosed"
1,"NOCPL","Jessica NOCPL SOA1","NOC28NOV008","CLNOCC132324000000008",28000.000000,19.750000,20,915.250000,164.750000,26920.000000,26220.000000,25.96,15.750000,"21-08-2023","09-03-2025",,,,900.000000,180.000000,0.000000,0.000000,0.000000,"21-07-2023","Active"
1,"NOCPL","Christopher NOCPL SOA1","NOC28NOV009","CLNOCC132324000000009",29000.000000,20.250000,12,1008.480000,181.520000,27810.000000,26748.000000,29.45,15.750000,"16-10-2023","13-09-2024",,,,1000.000000,190.000000,0.000000,0.000000,0.000000,"15-09-2023","Active"
1,"NOCPL","Karl NOCPL SOA1","NOC28NOV010","CLNOCC132223000000010",30000.000000,21.000000,16,1101.690000,198.310000,28700.000000,12947.000000,29.16,15.750000,"26-02-2023","24-05-2024",,,,1100.000000,200.000000,0.000000,0.000000,0.000000,"26-01-2023","Active"
